_id,pin,address,billing_city,current_delq_tax,current_delq_pi,prior_years,prior_delq_tax,prior_delq_pi,state_description,neighborhood,council_district,ward,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
2000415,0022B00139000000,1223 MARVISTA ST,"PITTSBURGH, PA",126.87,0,14,1654.45,1133.64,Residential,California-Kirkbride,6,21,1,21,1,1-9,-80.02577554505403,40.461431615880855
2000416,0060H00308000000,224 ALRIES ST,"PITTSBURGH, PA",787.19,0,14,10668.5,8528.45,Residential,Carrick,4,29,4,29,3,4-12,-79.98450938801403,40.399564180322976
2000417,0060P00112000000,364 COPPERFIELD AVE,"PITTSBURGH, PA",301.15,0,14,6888.96,7986.67,Residential,Carrick,4,29,4,29,3,4-23,-79.99428223293819,40.39555009849368
2000418,0060A00270000000,232 NOBLES LN,"HUNTINGDON VAL, PA",285.9,0,14,4046.25,2965.53,Residential,Carrick,4,29,4,29,3,4-23,-79.99546328262346,40.40252356093071
2000419,0060B00205000000,NOBLES LN,"WENDELL, NC",223.01,0,14,3238.06,2410.95,Residential,Carrick,4,29,4,29,3,4-7,-79.99285602256535,40.40294100200696
2000420,0095D00352000100,107 DUFFLAND ST,"PITTSBURGH, PA",1252.25,0,14,17111.47,8389.91,Residential,Carrick,4,29,4,29,3,4-12,-79.98456171939822,40.39247166203097
2000421,0095R00303000000,412 MAYTIDE ST,"PITTSBURGH, PA",425.78,0,14,6846.32,4980.16,Residential,Carrick,4,29,4,29,3,4-23,-79.98778354610694,40.38470548579559
2000422,0094E00259000000,RURALTON ST,"WESTVILLE, IN",36.22,0,14,486.45,343.46,Residential,Carrick,4,29,4,29,3,4-15,-79.97999145828234,40.39141637308813
2000423,0060H00300000000,206 ALRIES ST,"PHILADELPHIA, PA",152.5,0,14,2356.88,1842.5,Residential,Carrick,4,29,4,29,3,4-12,-79.98530694499901,40.39943326506648
2000424,0094E00289000000,2433 DIEHL AVE,"NEW KENSINGTON, PA",1101.67,0,14,11137.39,7175.87,Residential,Carrick,4,29,4,29,3,4-15,-79.97921944140013,40.390796668001016
2000425,0095H00182000000,LUTZ AVE,"PITTSBURGH, PA",17.16,0,14,2116.85,2510.85,Residential,Carrick,4,29,4,29,3,4-12,-79.98523779626765,40.39079407082095
2000426,0060K00152000000,PLATEAU ST,"PITTSBURGH, PA",272.57,0,14,4144.82,5175.68,Residential,Carrick,4,29,4,29,3,4-23,-79.99210015413264,40.39685803595656
2000427,0094F00120000000,414 KIRK AVE,"PITTSBURGH, PA",982.33,0,14,12579.84,8483.79,Residential,Carrick,4,29,4,29,3,4-15,-79.97696974268325,40.39174734329684
2000428,0094N00072000000,2546 BROWNSVILLE RD,"PITTSBURGH, PA",2195.73,0,14,32516.39,23232.89,Commercial,Carrick,4,29,4,29,3,4-23,-79.97912597954009,40.38563682351442
2000429,0032N00315000000,410 LAUGHLIN AVE,"DUQUESNE, PA",661.39,0,14,7407.08,4342.06,Residential,Carrick,4,29,4,29,3,4-12,-79.98034314733776,40.405081989140335
2000430,0060E00278000000,GLADE ST,"MONROEVILLE, PA",219.2,0,14,3191.67,2391.02,Residential,Carrick,4,29,4,29,3,4-23,-79.995787962877,40.399402708690005
2000431,0080P00296000000,182 47TH ST,"PITTSBURGH, PA",0,0,14,6516.01,3099.53,Residential,Central Lawrenceville,7,9,2,9,2,3-3,-79.95875974761567,40.47427053476544
2000432,0023K00012000000,319 JACKSONIA ST,"WEXFORD, PA",1772.58,0,14,22373.82,14818,Residential,Central Northside,1,25,1,25,1,1-21,-80.01119113065505,40.45740475564705
2000433,0071G00042000000,3731 CHARTIERS AVE,"PITTSBURGH, PA",1785.93,0,14,22738.65,14875.47,Residential,Chartiers City,2,20,5,20,6,1-16,-80.0720412532115,40.45769956585679
2000434,0071G00350000000,1414 HARLOW ST,"PITTSBURGH, PA",834.83,0,14,11887.79,8548.17,Residential,Chartiers City,2,20,5,20,6,1-16,-80.07114287843926,40.459921217399206
2000435,0041H00195000000,801 DUBOIS ST,"PITTSBURGH, PA",573.71,0,14,8119.53,5950.96,Residential,Crafton Heights,2,20,5,20,6,1-16,-80.05073091742489,40.450134535093525
2000436,0020P00277000000,1121 CHARTIERS AVE,"PITTSBURGH, PA",288.57,0,14,6901.56,5573.8,Residential,Crafton Heights,2,20,5,20,6,1-17,-80.04239286555817,40.445349186334695
2000437,0009M00323000000,ROWLEY ST,"VERONA, PA",20.98,0,14,561.28,745.15,Residential,Crawford-Roberts,6,3,3,3,2,2-1,-79.98294934215232,40.44549727430694
2000438,0009S00228000000,WEBSTER AVE,"PITTSBURGH, PA",567.99,0,14,6701.18,4137.35,Residential,Crawford-Roberts,6,3,3,3,2,2-1,-79.98391414419379,40.44457478755811
2000439,0011E00207000A00,WICK ST,"HOMESTEAD, PA",5.73,0,14,1518.99,1972.53,Residential,Crawford-Roberts,6,3,3,3,2,2-1,-79.9799743237537,40.44054717359044
2000440,0005C00123000000,PLYMOUTH ST,"LEECHBURG, PA",241.28,0,14,2723.69,19.71,Residential,Duquesne Heights,2,19,5,19,3,4-1,-80.02166443176543,40.43250585310324
2000441,0006P00074000000,EDITH ST,"PITTSBURGH, PA",179.16,0,14,4197.91,5286.74,Residential,Duquesne Heights,2,19,5,19,3,4-1,-80.02529976795462,40.43555672787242
2000442,0174M00018000000,8106 FRANKSTOWN AVE,"PITTSBURGH, PA",187.66,0,14,3787.58,3019.02,Residential,East Hills,9,13,2,13,5,3-17,-79.8831041361182,40.455238407147455
2000443,0231N00090000000,713 DORNBUSH ST,"MC KEESPORT, PA",116.28,0,14,3399.96,4397.03,Residential,East Hills,9,13,2,13,5,3-17,-79.87879542891135,40.45400476554121
2000444,0231N00285000000,FARGO ST,"LOS ANGELES, CA",19.06,0,14,244.28,165.31,Residential,East Hills,9,13,2,13,5,3-17,-79.88205955242982,40.45295711734607
2000445,0232E00138000000,WARSAW ST,"MALABAR, FL",15.25,0,14,205.32,147.76,Residential,East Hills,9,13,2,13,5,3-17,-79.87933339990522,40.45006433609625
2000446,0232B00290000000,619 DORNBUSH ST,"VERONA, PA",314.5,0,14,4157.6,2858.13,Residential,East Hills,9,13,2,13,5,3-17,-79.87712569798308,40.452699026063485
2000447,0231F00287000000,8419 FRANKSTOWN AVE,"PITTSBURGH, PA",0.2,0,14,15134.89,16055.93,Residential,East Hills,9,13,2,13,5,3-17,-79.87698853844553,40.45779821772943
2000448,0231N00286000000,FARGO ST,"LOS ANGELES, CA",85.78,0,14,1205.65,883.96,Residential,East Hills,9,13,2,13,5,3-17,-79.8820278133011,40.45285918168069
2000449,0231K00240000000,8363 VIDETTE ST,"TAMPA, FL",669.02,0,14,6869.1,5190.13,Residential,East Hills,9,13,2,13,5,3-17,-79.87701470532522,40.45550866970017
2000450,0232G00198000000,SONNY ST,"PITTSBURGH, PA",104.84,0,14,1472.46,1073.79,Residential,East Hills,9,13,2,13,5,3-19,-79.87181887216073,40.449925163891216
2000451,0231F00167000000,8421 DERSAM ST,"PITTSBURGH, PA",893.92,0,14,10520.93,6744.63,Residential,East Hills,9,13,2,13,5,3-17,-79.87765773125818,40.45843408219779
2000452,0231N00288000000,FARGO ST,"LOS ANGELES, CA",19.06,0,14,244.28,165.31,Residential,East Hills,9,13,2,13,5,3-17,-79.88199282189727,40.45276439879802
2000453,0083K00107000A00,RURAL ST,"PITTSBURGH, PA",34.31,0,14,474.32,14.57,Residential,East Liberty,9,11,2,11,5,3-8,-79.92839405631321,40.465168929234345
2000454,0084D00188000000,478 ENRIGHT CT,"PITTSBURGH, PA",1299.91,0,14,14934.56,10096.1,Residential,East Liberty,9,12,2,12,5,3-10,-79.91710787835366,40.461855744546575
2000455,0020L00262000000,LAKEWOOD ST,"PITTSBURGH, PA",198.22,0,14,3166.63,3304.99,Residential,Elliott,2,20,5,20,6,1-17,-80.03928908622996,40.445662783344886
2000456,0019H00121000000,40 NOBLESTOWN RD,"HURST, TX",556.55,0,14,8040.67,4036.12,Residential,Elliott,2,20,5,20,6,1-17,-80.03540490747838,40.43939358123676
2000457,0020G00017000000,LAKEWOOD ST,"PITTSBURGH, PA",249.7,0,14,2939.49,1822.37,Residential,Elliott,2,20,5,20,6,1-17,-80.04055053596447,40.45004673026423
2000458,0019B00068000000,8 ELBON ST,"PITTSBURGH, PA",425.05,0,14,6210.1,4544.76,Residential,Elliott,2,20,5,20,6,1-17,-80.04123031726967,40.44145732368056
2000459,0020F00094000000,1283 LAKEWOOD ST,"PITTSBURGH, PA",657.58,0,14,9351.19,6879.58,Residential,Elliott,2,20,5,20,6,1-17,-80.04174570082182,40.44902357457576
2000460,0020S00110000000,207 HERNDON ST,"BEAVER FALLS, PA",735.74,0,14,9622.5,6594.83,Residential,Elliott,2,20,5,20,6,1-17,-80.03663729367592,40.44328590514266
2000461,0019C00035000000,FURLEY ST,,266.84,0,14,3575.24,2651.69,Residential,Elliott,2,20,5,20,6,1-17,-80.03804871782238,40.44268300389615
2000462,0042C00085000000,226 OREGON ST,"PITTSBURGH, PA",634.7,0,14,7678.47,4852.52,Residential,Esplen,2,20,5,20,6,1-27,-80.0542941328627,40.46234725689791
2000463,0042C00185000000,216 RADCLIFFE ST,"PITTSBURGH, PA",768.13,0,14,11020.11,8163.17,Residential,Esplen,2,20,5,20,6,1-27,-80.05542945965153,40.4623492405966
2000464,0042D00190000000,125 SAGINAW ST,"PITTSBURGH, PA",280.92,0,14,5603.48,4058.23,Residential,Esplen,2,20,5,20,6,1-27,-80.05002506056474,40.46033621160485
2000465,0042D00225000000,SLOAN ST,"PITTSBURGH, PA",133.42,0,14,1629.42,1044.74,Residential,Esplen,2,20,5,20,6,1-27,-80.05132836088501,40.461223636279485
2000466,0023H00357000000,HENDERSON ST,"PITTSBURGH, PA",438.38,0,14,5473.8,3588.76,Residential,Fineview,1,25,1,25,1,1-10,-80.00210005853863,40.4596923548162
2000467,0023C00204000000,LANARK ST,"PITTSBURGH, PA",72.43,0,14,864,543.66,Residential,Fineview,1,25,1,25,1,1-10,-80.004488889143,40.461034687006986
2000468,0023D00117000000,1606 WARREN ST,"BAKERSTOWN, PA",648.06,0,14,8987.54,7404.82,Residential,Fineview,1,25,1,25,1,1-10,-80.00240129848162,40.460978010058426
2000469,0046R00104000000,CEMETERY ST,"TRAFFORD, PA",0,0,14,519.42,727.81,Residential,Fineview,1,25,1,25,1,1-10,-80.00612284766883,40.46260635573412
2000470,0046R00123000000,1935 MEADVILLE ST,"MYRTLE BEACH, SC",688.08,0,14,8048.12,4920.15,Residential,Fineview,1,25,1,25,1,1-10,-80.00618150398722,40.46342392478588
2000471,0050B00171000000,4817 COLUMBO ST,"PITTSBURGH, PA",341.91,0,14,6406.35,4669.09,Residential,Garfield,9,10,2,10,5,3-4,-79.94269248008504,40.47168734705678
